,Authors,Article Title,Journal,Publish year,DOI,DOI link,,Result,Name,Note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
810,"Michelsen, A; Jonasson, S; Sleep, D; Havstrom, M; Callaghan, TV","Shoot biomass, delta C-13, nitrogen and chlorophyll responses of two arctic dwarf shrubs to in situ shading, nutrient application and warming simulating climatic change",OECOLOGIA,1996,10.1007/BF00328785,http://dx.doi.org/10.1007/BF00328785,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
811,"Villarreal, M; Cochran, RC; Johnson, DE; Towne, EG; Wilson, GWT; Hartnett, DC; Goodin, DG",The use of pasture reflectance characteristics and arbuscular mycorrhizal root colonization to predict pasture characteristics of tallgrass prairie grazed by cattle and bison,GRASS AND FORAGE SCIENCE,2006,10.1111/j.1365-2494.2006.00505.x,http://dx.doi.org/10.1111/j.1365-2494.2006.00505.x,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
812,"Chen, ST; Ding, YJ; Xia, X; Feng, X; Liu, XY; Zheng, JF; Drosos, M; Cheng, K; Bian, RJ; Zhang, XH; Li, LQ; Pan, GX",Amendment of straw biochar increased molecular diversity and enhanced preservation of plant derived organic matter in extracted fractions of a rice paddy,JOURNAL OF ENVIRONMENTAL MANAGEMENT,2021,10.1016/j.jenvman.2021.112104,http://dx.doi.org/10.1016/j.jenvman.2021.112104,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
813,"Gömöryová, E; Fleischer, P; Pichler, V; Homolák, M; Gere, R; Gömöry, D",Soil microorganisms at the windthrow plots: the effect of post-disturbance management and the time since disturbance,IFOREST-BIOGEOSCIENCES AND FORESTRY,2017,10.3832/ifor2304-010,http://dx.doi.org/10.3832/ifor2304-010,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
814,"Koskimäki, JJ; Pohjanen, J; Kvist, J; Fester, T; Härtig, C; Podolich, O; Fluch, S; Edesi, J; Häggman, H; Pirttilä, AM",The meristem-associated endosymbiont Methylorubrum extorquens DSM13060 reprograms development and stress responses of pine seedlings,TREE PHYSIOLOGY,2022,10.1093/treephys/tpab102,http://dx.doi.org/10.1093/treephys/tpab102,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
815,"Proença, DN; Francisco, R; Kublik, S; Schöler, A; Vestergaard, G; Schloter, M; Morais, PV","The Microbiome of Endophytic, Wood Colonizing Bacteria from Pine Trees as Affected by Pine Wilt Disease",SCIENTIFIC REPORTS,2017,10.1038/s41598-017-04141-6,http://dx.doi.org/10.1038/s41598-017-04141-6,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
816,"Baram, S; Dabach, S; Jerszurki, D; Stockert, CM; Smart, DR",Upscaling point measurements of N2O emissions into the orchard scale under drip and microsprinkler irrigation,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2018,10.1016/j.agee.2018.05.022,http://dx.doi.org/10.1016/j.agee.2018.05.022,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
817,"Barness, G; Zaragoza, S; Shmueli, I; Steinberger, Y",Vertical Distribution of a Soil Microbial Community as Affected by Plant Ecophysiological Adaptation in a Desert System,MICROBIAL ECOLOGY,2009,10.1007/s00248-008-9396-5,http://dx.doi.org/10.1007/s00248-008-9396-5,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
818,"Zhang, L; Xu, ZH; Patel, B",Culture-dependent and culture-independent microbial investigation of pine litters and soil in subtropical Australia,JOURNAL OF SOILS AND SEDIMENTS,2009,10.1007/s11368-009-0059-z,http://dx.doi.org/10.1007/s11368-009-0059-z,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
819,"De Clerck, C; Andrianarisoa, KS; Lassois, L; Choma, C",Silvoarable Agroforestry Systems as Promising Practices for Improving Soil Biological Health: Recent Advances and Future Challenges in Western European Region,SOIL USE AND MANAGEMENT,2025,10.1111/sum.70104,http://dx.doi.org/10.1111/sum.70104,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
820,"Wozniak, M; Galazka, A; Siebielec, G; Frac, M",Can the Biological Activity of Abandoned Soils Be Changed by the Growth of Paulownia elongata x Paulownia fortunei?-Preliminary Study on a Young Tree Plantation,AGRICULTURE-BASEL,2022,10.3390/agriculture12020128,http://dx.doi.org/10.3390/agriculture12020128,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
821,"Wang, YN; Gao, GQ; Wang, N; Wang, ZQ; Gu, JC",Effects of morphology and stand structure on root biomass and length differed between absorptive and transport roots in temperate trees,PLANT AND SOIL,2019,10.1007/s11104-019-04206-7,http://dx.doi.org/10.1007/s11104-019-04206-7,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
822,"Rebelo, TB; Batezelli, A; Mattos, NH; Leite, EP","Sedimentary processes and paleoenvironment reconstruction of the Barra Velha formation, Santos Basin, Brazilian pre-salt",MARINE AND PETROLEUM GEOLOGY,2023,10.1016/j.marpetgeo.2023.106141,http://dx.doi.org/10.1016/j.marpetgeo.2023.106141,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
823,"Jing, LX; Yang, YB; Wang, WJ; Wang, HM",Ectomycorrhizal trees enhanced water-holding capacity in forest ecosystems in northeastern China,EUROPEAN JOURNAL OF FOREST RESEARCH,2024,10.1007/s10342-023-01653-x,http://dx.doi.org/10.1007/s10342-023-01653-x,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
824,"Peguero, G; Ferrín, M; Sardans, J; Verbruggen, E; Ramírez-Rojas, I; Van Langenhove, L; Verryckt, LT; Murienne, J; Iribar, A; Zinger, L; Grau, O; Orivel, J; Stahl, C; Courtois, EA; Asensio, D; Gargallo-Garriga, A; Llusià, J; Margalef, O; Ogaya, R; Richter, A; Janssens, IA; Peñuelas, J",Decay of similarity across tropical forest communities: integrating spatial distance with soil nutrients,ECOLOGY,2022,10.1002/ecy.3599,http://dx.doi.org/10.1002/ecy.3599,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
825,"Kim, S; Li, G; Han, SH; Chang, H; Kim, HJ; Son, Y",Differential Effects of Coarse Woody Debris on Microbial and Soil Properties in Pinus densiflora Sieb. et Zucc. Forests,FORESTS,2017,10.3390/f8080292,http://dx.doi.org/10.3390/f8080292,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
826,"Koch, S; Dunker, S; Kleinhenz, B; Röhrig, M; von Tiedemann, A",Crop loss-related forecasting model for Sclerotinia stem rot in winter oilseed rape,PHYTOPATHOLOGY,2007,10.1094/PHYTO-97-9-1186,http://dx.doi.org/10.1094/PHYTO-97-9-1186,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
827,"Saetre, P","Spatial patterns of ground vegetation, soil microbial biomass and activity in a mixed spruce-birch stand",ECOGRAPHY,1999,10.1111/j.1600-0587.1999.tb00467.x,http://dx.doi.org/10.1111/j.1600-0587.1999.tb00467.x,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
828,"Lafay, B; Burdon, JJ",Small-subunit rRNA genotyping of rhizobia nodulating Australian Acacia spp.,APPLIED AND ENVIRONMENTAL MICROBIOLOGY,2001,10.1128/AEM.67.1.396-402.2001,http://dx.doi.org/10.1128/AEM.67.1.396-402.2001,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
829,"Kwasna, H",Natural shifts in communities of rhizosphere fungi of common oak after felling,PLANT AND SOIL,2004,10.1023/B:PLSO.0000047752.41575.c7,http://dx.doi.org/10.1023/B:PLSO.0000047752.41575.c7,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WOS:000175048600003,View Full Record in Web of Science
830,"Kooch, Y; Ghorbanzadeh, N; Hajimirzaaghaee, S; Egli, M",Soil functional indicators in mixed beech forests are clearly species-specific,JOURNAL OF FORESTRY RESEARCH,2023,10.1007/s11676-022-01548-4,http://dx.doi.org/10.1007/s11676-022-01548-4,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WOS:000080239200007,View Full Record in Web of Science
831,"Benson, LV; Ramsey, DK; Stahle, DW; Petersen, KL",Some thoughts on the factors that controlled prehistoric maize production in the American Southwest with application to southwestern Colorado,JOURNAL OF ARCHAEOLOGICAL SCIENCE,2013,10.1016/j.jas.2013.03.013,http://dx.doi.org/10.1016/j.jas.2013.03.013,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WOS:000984053000001,View Full Record in Web of Science
832,"Mapanda, F; Munotengwa, S; Wuta, M; Nyamugafata, P; Nyamangara, J",Short-term responses of selected soil properties to clearing and cropping of miombo woodlands in central Zimbabwe,SOIL & TILLAGE RESEARCH,2013,10.1016/j.still.2013.01.008,http://dx.doi.org/10.1016/j.still.2013.01.008,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JUL 2023,,,,,,37409884,,,,,WOS:001023492900001,View Full Record in Web of Science
833,"Carvalheiro, KD; Nepstad, DC",Deep soil heterogeneity and fine root distribution in forests and pastures of eastern Amazonia,PLANT AND SOIL,1996,,,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WOS:000289230700006,View Full Record in Web of Science
834,"Nietfeld, H; Prenzel, J; Helmisaari, HS; Polle, A; Beese, F",Modeling of mineral nutrient uptake of spruce tree roots as affected by the ion dynamics in the rhizosphere: Upscaling of model results to field plot scale,ECOLOGICAL MODELLING,2017,10.1016/j.ecolmodel.2016.09.006,http://dx.doi.org/10.1016/j.ecolmodel.2016.09.006,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WOS:000908835200001,View Full Record in Web of Science
835,"Schoonmaker, AL; Teste, FP; Simard, SW; Guy, RD","Tree proximity, soil pathways and common mycorrhizal networks: their influence on the utilization of redistributed water by understory seedlings",OECOLOGIA,2007,10.1007/s00442-007-0852-6,http://dx.doi.org/10.1007/s00442-007-0852-6,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAY 2025,,,,,,,,,,,WOS:001498927400001,View Full Record in Web of Science
836,"Friggens, NL; Hartley, IP; Parker, TC; Subke, JA; Wookey, PA",Trees out-forage understorey shrubs for nitrogen patches in a subarctic mountain birch forest,OIKOS,2023,10.1111/oik.09567,http://dx.doi.org/10.1111/oik.09567,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WOS:000258882100006,View Full Record in Web of Science
837,"Kadulin, MS; Smirnova, IE; Koptsyk, GN",The emission of carbon dioxide from soils of the Pasvik nature reserve in the Kola Subarctic,EURASIAN SOIL SCIENCE,2017,10.1134/S1064229317090034,http://dx.doi.org/10.1134/S1064229317090034,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16858142,,,,,WOS:000238807000004,View Full Record in Web of Science
838,"Ferreira, JA; Ferreira, JMS; Maia, ADN; Lins, PMP; Bottoli, CBG",Pesticide Translocation Using Nonpressurized and Pressurized Endotherapeutic Treatments in Coconut Palms,HORTICULTURAE,2024,10.3390/horticulturae10040386,http://dx.doi.org/10.3390/horticulturae10040386,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WOS:000298203700002,View Full Record in Web of Science
839,"Caspi, T; Estrada, L; Dowling, A; Su, E; Leshchinskiy, M; Cavalcanti, ARO; Crane, EJ ; Robins, CR; Meyer, WM",Carbon and nitrogen in the topsoils of Inceptisols and Mollisols under native sage scrub and non-native grasslands in southern California,GEODERMA REGIONAL,2018,10.1016/j.geodrs.2018.e00172,http://dx.doi.org/10.1016/j.geodrs.2018.e00172,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30087362,,,,,WOS:000440976700035,View Full Record in Web of Science
840,"Pen-Mouratov, S; Steinberger, Y",Spatio-temporal dynamic heterogeneity of nematode abundance in a desert ecosystem,JOURNAL OF NEMATOLOGY,2005,,,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WOS:000378188600021,View Full Record in Web of Science
841,"Huang, ZQ; Yu, ZP; Wang, MH",Environmental controls and the influence of tree species on temporal variation in soil respiration in subtropical China,PLANT AND SOIL,2014,10.1007/s11104-014-2141-6,http://dx.doi.org/10.1007/s11104-014-2141-6,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WOS:A1997XQ98800018,View Full Record in Web of Science
842,"Schindlbacher, A; Zechmeister-Boltenstern, S; Kitzler, B; Jandl, R",Experimental forest soil warming:: response of autotrophic and heterotrophic soil respiration to a short-term 10°C temperature rise,PLANT AND SOIL,2008,10.1007/s11104-007-9511-2,http://dx.doi.org/10.1007/s11104-007-9511-2,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAR 2024,,,,,,,,,,,WOS:001218084400001,View Full Record in Web of Science
843,"Silva, LJD; Freitas, ICD; Abreu, LHGD; Oliveira, DMD; Barbosa, DLD; Figueredo, CC; Camilotti, VL; Teixeira, MV; Frazao, LA",Converting Low-Productivity Pasture to Well-Managed Pasture and Silvopastoral System Cause Relevant Changes in Soil Chemical and Microbiological Characteristics,FORESTS,2024,10.3390/f15061029,http://dx.doi.org/10.3390/f15061029,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WOS:000485324700016,View Full Record in Web of Science
844,"Luo, J; Walsh, E; Groben, G; Justiniano, B; Zhang, N",Larger presence of ectomycorrhizae detected from pygmy pine ecotype in the fire-frequent pine barrens ecosystem,MYCOLOGIA,2023,10.1080/00275514.2023.2234269,http://dx.doi.org/10.1080/00275514.2023.2234269,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OCT 2024,,,,,,,,,,,WOS:001338085900001,View Full Record in Web of Science
845,"Kurniawan, S; Nugroho, RMYAP; Ustiatik, R; Nita, I; Nugroho, GA; Prayogo, C; Anderson, CWN",Soil nitrogen dynamics affected by coffee (coffea arabica) canopy and fertilizer management in coffee-based agroforestry,AGROFORESTRY SYSTEMS,2024,10.1007/s10457-024-01004-8,http://dx.doi.org/10.1007/s10457-024-01004-8,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEP 2023,,,,,,,,,,,WOS:001073177800002,View Full Record in Web of Science
846,"Mohamed, E; Nawal, I; Soukaina, M; Najoua, M; Zineb, S; Karima, S; Amina, OT; Allal, D",Effect of seed treatment by a bioformulation based on arbuscular mycorrhizal fungi (AMF) on the growth of argan plants (Argania spinosa (L.) Skeels),EGYPTIAN JOURNAL OF BOTANY,2025,10.21608/ejbo.2024.264685.2674,http://dx.doi.org/10.21608/ejbo.2024.264685.2674,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WOS:000347544200008,View Full Record in Web of Science
847,"Mummey, DL; Stahl, PD; Buyer, JS",Soil microbiological properties 20 years after surface mine reclamation: spatial analysis of reclaimed and undisturbed sites,SOIL BIOLOGY & BIOCHEMISTRY,2002,10.1016/S0038-0717(02)00158-X,http://dx.doi.org/10.1016/S0038-0717(02)00158-X,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39008351,,,,,WOS:001280193700004,View Full Record in Web of Science
848,"Tahseen, Q; Mahboob, M; Ahmad, I","Insights into diversity of the lip region in Cephalobidae Filipjev, 1934 (Nematoda)",ZOOMORPHOLOGY,2025,10.1007/s00435-025-00734-2,http://dx.doi.org/10.1007/s00435-025-00734-2,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WOS:001580382800011,View Full Record in Web of Science
849,"Newbery, DM; Stoll, P",Including tree spatial extension in the evaluation of neighborhood competition effects in Bornean rain forest,ECOLOGY AND EVOLUTION,2021,10.1002/ece3.7452,http://dx.doi.org/10.1002/ece3.7452,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JUN 2021,,,,,,,,,,,WOS:000659770300001,View Full Record in Web of Science
850,"Rosenstock, NP; Stendahl, J; van der Heijden, GA; Lundin, L; Mcgivney, E; Bishop, K; Löfgren, S",Base cations in the soil bank: non-exchangeable pools may sustain centuries of net loss to forestry and leaching,SOIL,2019,10.5194/soil-5-351-2019,http://dx.doi.org/10.5194/soil-5-351-2019,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20014590,,,,,WOS:000271874300020,View Full Record in Web of Science
851,"Striganaviciute, G; Vaitiekunaite, D; Silanskiene, M; Sirgedaite-Seziene, V",Harnessing microbial allies: enhancing black alder resilience to PAH stress through microbial symbiosis,FRONTIERS IN PLANT SCIENCE,2025,10.3389/fpls.2025.1552258,http://dx.doi.org/10.3389/fpls.2025.1552258,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WOS:000316978100010,View Full Record in Web of Science
852,"Bieluczyk, W; Piccolo, MD; Pereira, MG; Lambais, GR; de Moraes, MT; Soltangheisi, A; Bernardi, ACD; Pezzopane, JRM; Bosi, C; Cherubin, MR",Eucalyptus tree influence on spatial and temporal dynamics of fine-root growth in an integrated crop-livestock-forestry system in southeastern Brazil,RHIZOSPHERE,2021,10.1016/j.rhisph.2021.100415,http://dx.doi.org/10.1016/j.rhisph.2021.100415,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WOS:000269224400007,View Full Record in Web of Science
853,"Schneegurt, MA",Colorimetric microbial diversity analysis and halotolerance along a soil salinity gradient at the Great Salt Plains of Oklahoma,RESEARCH IN MICROBIOLOGY,2013,10.1016/j.resmic.2012.10.004,http://dx.doi.org/10.1016/j.resmic.2012.10.004,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEC 2022,,,,,,,,,,,WOS:000901643600001,View Full Record in Web of Science
854,"Olson, PE; Wong, T; Leigh, MB; Fletcher, JS",Allometric modeling of plant root growth and its application in rhizosphere remediation of soil contaminants,ENVIRONMENTAL SCIENCE & TECHNOLOGY,2003,10.1021/es026099m,http://dx.doi.org/10.1021/es026099m,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26175104,,,,,WOS:000363481400040,View Full Record in Web of Science
855,"Oluwatosin, GA; Adeyolanu, DO; Idowu, OJ; Taiwo, LB",Changes in soil quality as influenced by cropping in the forest ecology of Southwestern Nigeria,JOURNAL OF FOOD AGRICULTURE & ENVIRONMENT,2008,,,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WOS:000465560700011,View Full Record in Web of Science
856,"BURKE, IC; LAUENROTH, WK; COFFIN, DP",SOIL ORGANIC-MATTER RECOVERY IN SEMIARID GRASSLANDS - IMPLICATIONS FOR THE CONSERVATION RESERVE PROGRAM,ECOLOGICAL APPLICATIONS,1995,10.2307/1941987,http://dx.doi.org/10.2307/1941987,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19824901,,,,,WOS:000271466400012,View Full Record in Web of Science
857,"Cruz, JA; Tubana, BS; Fultz, LM; Dalen, MS; Ham, JH",Identification and profiling of silicate-solubilizing bacteria for plant growth-promoting traits and rhizosphere competence,RHIZOSPHERE,2022,10.1016/j.rhisph.2022.100566,http://dx.doi.org/10.1016/j.rhisph.2022.100566,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WOS:000298029000004,View Full Record in Web of Science
858,"Chen, M; Xu, CY; Wang, X; Ren, CY; Ding, J; Li, L",Comparative genomics analysis of c-di-GMP metabolism and regulation in Microcystis aeruginosa,BMC GENOMICS,2020,10.1186/s12864-020-6591-3,http://dx.doi.org/10.1186/s12864-020-6591-3,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WOS:000528270900006,View Full Record in Web of Science
859,"Galicia, L; García-Oliva, F",Remnant tree effects on soil microbial carbon and nitrogen in tropical seasonal pasture in western Mexico,EUROPEAN JOURNAL OF SOIL BIOLOGY,2008,10.1016/j.ejsobi.2008.04.001,http://dx.doi.org/10.1016/j.ejsobi.2008.04.001,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39757992,,,,,WOS:001398078100019,View Full Record in Web of Science
860,"Khan, A; Gul, S; Agha, SAS; Panezai, S; Khan, N; Ziad, T; Akbar, A","Agricultural management practices and soil quality - A study on agricultural lands of Hanna Village, Balochistan, Pakistan",JOURNAL OF MOUNTAIN SCIENCE,2025,10.1007/s11629-024-9007-z,http://dx.doi.org/10.1007/s11629-024-9007-z,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WOS:000335506300008,View Full Record in Web of Science
861,"Wildermuth, B; Oldeland, J; Arning, C; Gunter, F; Strohbach, B; Juergens, N",Spatial patterns and life histories of Macrotermes michaelseni termite mounds reflect intraspecific competition: insights of a temporal comparison spanning 12 years,ECOGRAPHY,2022,10.1111/ecog.06306,http://dx.doi.org/10.1111/ecog.06306,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WOS:001586654000003,View Full Record in Web of Science
862,"Cheng, GC; Zhu, MA; Zhang, X; Guo, YF; Yang, YB; Yun, CL; Wu, Y; Wang, Q; Wang, WJ; Wang, HM","Northeastern China shelterbelt-farmland glomalin differences depend on geo-climates, soil depth, and microbial interaction: Carbon sequestration, nutrient retention and implication",APPLIED SOIL ECOLOGY,2023,10.1016/j.apsoil.2023.105068,http://dx.doi.org/10.1016/j.apsoil.2023.105068,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30308918,,,,,WOS:000446076500141,View Full Record in Web of Science
863,"Lee, KH; Jose, S",Soil respiration and microbial biomass in a pecan - cotton alley cropping system in Southern USA,AGROFORESTRY SYSTEMS,2003,10.1023/A:1025404019211,http://dx.doi.org/10.1023/A:1025404019211,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEC 2019,,,,,,,,,,,WOS:000504132400004,View Full Record in Web of Science
864,"Hajek, AE; Bauer, L; McManus, ML; Wheeler, MM",Distribution of resting spores of the Lymantria dispar pathogen Entomophaga maimaiga in soil and on bark,BIOCONTROL,1998,10.1023/A:1009933525540,http://dx.doi.org/10.1023/A:1009933525540,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAY 2023,,,,,,,,,,,WOS:001043371900001,View Full Record in Web of Science
865,"Ibrahim, MH; Sukri, RS; Tennakoon, KU; Rosli, NN; Metali, F",Changes in Soil Physicochemical and Water Properties in Response to Exotic Acacia Invasion in a Bornean Coastal Heath Forest,JOURNAL OF SOIL SCIENCE AND PLANT NUTRITION,2023,10.1007/s42729-023-01257-9,http://dx.doi.org/10.1007/s42729-023-01257-9,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WOS:000297811200010,View Full Record in Web of Science
866,"Hwang, YJ; Son, JS; Lee, SY; Kim, MJ; Park, JM; Shin, JH; Ghim, SY","Adhaeribacter radiodurans sp. nov., isolated from the rhizospheric soil of Elymus tsukushiensis, a plant native to the Dokdo Islands, Republic of Korea",INTERNATIONAL JOURNAL OF SYSTEMATIC AND EVOLUTIONARY MICROBIOLOGY,2021,10.1099/ijsem.0.004612,http://dx.doi.org/10.1099/ijsem.0.004612,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WOS:000184912000005,View Full Record in Web of Science
867,"Mahmoodi, MB; Kooch, Y; Alberti, G",Tree species is more effective than season dynamics on topsoil function and CO2 emissions in the temperate forests,ECOLOGICAL RESEARCH,2023,10.1111/1440-1703.12364,http://dx.doi.org/10.1111/1440-1703.12364,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JUN 2021,,,,,,34190666,,,,,WOS:000668481600001,View Full Record in Web of Science
868,"de Faria, GE; de Barros, NF; de Novais, RF; da Silva, IR; Neves, JCL",Organic carbon and fractions of soil organic matter at different distances from eucalyptus stem,SCIENTIA FORESTALIS,2008,,,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WOS:000469166100032,View Full Record in Web of Science
869,"Berhe, AA",Decomposition of organic substrates at eroding vs. depositional landform positions,PLANT AND SOIL,2012,10.1007/s11104-011-0902-z,http://dx.doi.org/10.1007/s11104-011-0902-z,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WOS:000392788600005,View Full Record in Web of Science
