"year","date","site","pair","plot","castilleja","total_cover","plant_cover","bare","no_plant","no_total","species"
2023,"7/14/23","Deer Creek 2",23,46,"Control",1.085,0.385,0.7,0.385,1.085,"C. linariifolia"
2023,"7/14/23","Deer Creek 2",24,47,"Castilleja",1.155,0.655,0.5,0.605,1.105,"C. linariifolia"
2023,"7/14/23","Deer Creek 2",24,48,"Control",1.01,0.71,0.3,0.56,0.86,"C. linariifolia"
2023,"7/14/23","Deer Creek 2",25,49,"Castilleja",1.195,0.695,0.5,0.545,1.045,"C. linariifolia"
2023,"7/14/23","Deer Creek 2",25,50,"Control",1.07,0.82,0.25,0.82,1.07,"C. linariifolia"
2023,"7/14/23","Deer Creek 2",26,51,"Castilleja",1.2,0.65,0.55,0.58,1.13,"C. linariifolia"
2023,"7/14/23","Deer Creek 2",26,52,"Control",1.14,0.34,0.8,0.34,1.14,"C. linariifolia"
2023,"7/18/23","Deer Creek 2",27,53,"Castilleja",1.21,0.91,0.3,0.83,1.13,"C. linariifolia"
2023,"7/18/23","Deer Creek 2",27,54,"Control",1.105,0.305,0.8,0.305,1.105,"C. linariifolia"
2023,"7/18/23","Deer Creek 2",28,55,"Castilleja",1.085,0.385,0.7,0.185,0.885,"C. linariifolia"
2023,"7/18/23","Deer Creek 2",28,56,"Control",1.145,0.545,0.6,0.515,1.115,"C. linariifolia"
2023,"7/18/23","Deer Creek 2",29,57,"Castilleja",1.145,0.395,0.75,0.385,1.135,"C. linariifolia"
2023,"7/18/23","Deer Creek 2",29,58,"Control",1.04,0.59,0.45,0.59,1.04,"C. linariifolia"
2023,"7/18/23","Deer Creek 2",30,59,"Castilleja",1.17,0.52,0.65,0.41,1.06,"C. linariifolia"
2023,"7/18/23","Deer Creek 2",30,60,"Control",1.2,0.9,0.3,0.9,1.2,"C. linariifolia"
2023,"7/18/23","Deer Creek 2",31,61,"Castilleja",1.145,0.245,0.9,0.195,1.095,"C. linariifolia"
2023,"7/18/23","Deer Creek 2",31,62,"Control",1.105,0.155,0.95,0.155,1.105,"C. linariifolia"
2023,"7/18/23","Deer Creek 2",32,63,"Castilleja",1.14,0.44,0.7,0.43,1.13,"C. linariifolia"
2023,"7/18/23","Deer Creek 2",32,64,"Control",1.19,0.79,0.4,0.79,1.19,"C. linariifolia"
2023,"7/18/23","Deer Creek 2",33,65,"Castilleja",1.15,0.35,0.8,0.26,1.06,"C. linariifolia"
2023,"7/18/23","Deer Creek 2",33,66,"Control",1.155,0.505,0.65,0.505,1.155,"C. linariifolia"
2023,"7/18/23","Deer Creek 2",34,67,"Castilleja",1.32,0.62,0.7,0.42,1.12,"C. linariifolia"
2023,"7/18/23","Deer Creek 2",34,68,"Control",1.02,0.82,0.2,0.67,0.87,"C. linariifolia"
2023,"7/18/23","Deer Creek 2",35,69,"Castilleja",1.23,0.93,0.3,0.8,1.1,"C. linariifolia"
2023,"7/18/23","Deer Creek 2",35,70,"Control",1.075,0.125,0.95,0.125,1.075,"C. linariifolia"
2023,"7/18/23","Deer Creek 2",36,71,"Castilleja",1.06,0.36,0.7,0.13,0.83,"C. linariifolia"
2023,"7/18/23","Deer Creek 2",36,72,"Control",1.13,0.23,0.9,0.21,1.11,"C. linariifolia"
2023,"7/18/23","Deer Creek 2",37,73,"Castilleja",1.32,0.92,0.4,0.37,0.77,"C. linariifolia"
2023,"7/18/23","Deer Creek 2",37,74,"Control",1.185,0.435,0.75,0.435,1.185,"C. linariifolia"
2023,"7/18/23","Deer Creek 2",38,75,"Castilleja",1.045,0.595,0.45,0.495,0.945,"C. linariifolia"
2023,"7/18/23","Deer Creek 2",38,76,"Control",1.175,0.475,0.7,0.425,1.125,"C. linariifolia"
2023,"7/18/23","Deer Creek 2",39,77,"Castilleja",1.2,0.4,0.8,0.3,1.1,"C. linariifolia"
2023,"7/18/23","Deer Creek 2",39,78,"Control",1.19,0.54,0.65,0.54,1.19,"C. linariifolia"
2023,"7/18/23","Deer Creek 2",40,79,"Castilleja",1.075,0.425,0.65,0.325,0.975,"C. linariifolia"
2023,"7/18/23","Deer Creek 2",40,80,"Control",1.51,0.71,0.8,0.61,1.41,"C. linariifolia"
2024,"7/5/24","Deer Creek 1",41,81,"Castilleja",1,0.25,0.75,0.19,0.94,"C. linariifolia"
2024,"7/5/24","Deer Creek 1",41,82,"Control",1,0.35,0.65,0.35,1,"C. linariifolia"
2024,"7/5/24","Deer Creek 1",42,83,"Castilleja",1,0.8,0.2,0.76,0.96,"C. linariifolia"
2024,"7/5/24","Deer Creek 1",42,84,"Control",1.025,0.725,0.3,0.725,1.025,"C. linariifolia"
2024,"7/5/24","Deer Creek 1",43,85,"Castilleja",1.005,0.755,0.25,0.595,0.845,"C. linariifolia"
2024,"7/5/24","Deer Creek 1",43,86,"Control",1.015,0.315,0.7,0.315,1.015,"C. linariifolia"
2024,"7/5/24","Deer Creek 1",44,87,"Castilleja",1.045,0.895,0.15,0.475,0.625,"C. linariifolia"
2024,"7/5/24","Deer Creek 1",44,88,"Control",1,0.7,0.3,0.7,1,"C. linariifolia"
2024,"7/5/24","Deer Creek 1",45,89,"Castilleja",1.205,1.055,0.15,0.885,1.035,"C. linariifolia"
2024,"7/5/24","Deer Creek 1",45,90,"Control",1,0.2,0.8,0.2,1,"C. linariifolia"
2024,"7/5/24","Deer Creek 1",46,91,"Castilleja",1.13,0.38,0.75,0.37,1.12,"C. linariifolia"
2024,"7/5/24","Deer Creek 1",46,92,"Control",1.09,0.44,0.65,0.44,1.09,"C. linariifolia"
2024,"7/5/24","Deer Creek 1",47,93,"Castilleja",1.025,0.775,0.25,0.755,1.005,"C. linariifolia"
2024,"7/5/24","Deer Creek 1",47,94,"Control",1.34,1.14,0.2,1.09,1.29,"C. linariifolia"
2024,"7/5/24","Deer Creek 1",48,95,"Castilleja",1.155,0.955,0.2,0.905,1.105,"C. linariifolia"
2024,"7/5/24","Deer Creek 1",48,96,"Control",1.255,0.705,0.55,0.705,1.255,"C. linariifolia"
2024,"7/5/24","Deer Creek 1",49,97,"Castilleja",1.1,0.3,0.8,0.1,0.9,"C. linariifolia"
2024,"7/5/24","Deer Creek 1",49,98,"Control",1.22,0.82,0.4,0.82,1.22,"C. linariifolia"
2024,"7/5/24","Deer Creek 1",50,99,"Castilleja",1.03,0.48,0.55,0.33,0.88,"C. linariifolia"
2024,"7/5/24","Deer Creek 1",50,100,"Control",1.105,0.255,0.85,0.255,1.105,"C. linariifolia"
2024,"7/8/24","Deer Creek 1",51,101,"Castilleja",1.245,0.945,0.3,0.845,1.145,"C. linariifolia"
2024,"7/8/24","Deer Creek 1",51,102,"Control",1.055,0.885,0.17,0.885,1.055,"C. linariifolia"
2024,"7/8/24","Deer Creek 1",52,103,"Castilleja",1.015,0.765,0.25,0.645,0.895,"C. linariifolia"
2024,"7/8/24","Deer Creek 1",52,104,"Control",1.1,0.75,0.35,0.75,1.1,"C. linariifolia"
2024,"7/8/24","Deer Creek 1",53,105,"Castilleja",1.22,1.14,0.08,0.88,0.96,"C. linariifolia"
2024,"7/8/24","Deer Creek 1",53,106,"Control",1.04,0.64,0.4,0.64,1.04,"C. linariifolia"
2024,"7/8/24","Deer Creek 1",54,107,"Castilleja",1.045,0.795,0.25,0.775,1.025,"C. linariifolia"
2024,"7/8/24","Deer Creek 1",54,108,"Control",1.16,0.61,0.55,0.61,1.16,"C. linariifolia"
2024,"7/8/24","Deer Creek 1",55,109,"Castilleja",1.16,0.81,0.35,0.8,1.15,"C. linariifolia"
2024,"7/8/24","Deer Creek 1",55,110,"Control",1.105,0.905,0.2,0.905,1.105,"C. linariifolia"
2024,"7/8/24","Deer Creek 1",56,111,"Castilleja",1.07,0.37,0.7,0.32,1.02,"C. linariifolia"
2024,"7/8/24","Deer Creek 1",56,112,"Control",1,0.55,0.45,0.55,1,"C. linariifolia"
2024,"7/8/24","Deer Creek 1",57,113,"Castilleja",1.29,0.89,0.4,0.82,1.22,"C. linariifolia"
2024,"7/8/24","Deer Creek 1",57,114,"Control",1.13,0.73,0.4,0.68,1.08,"C. linariifolia"
2024,"7/8/24","Deer Creek 1",58,115,"Castilleja",1,0.35,0.65,0.2,0.85,"C. linariifolia"
2024,"7/8/24","Deer Creek 1",58,116,"Control",1.095,0.595,0.5,0.595,1.095,"C. linariifolia"
2024,"7/8/24","Deer Creek 1",59,117,"Castilleja",1.665,1.565,0.1,1.345,1.445,"C. linariifolia"
2024,"7/8/24","Deer Creek 1",59,118,"Control",1.115,0.565,0.55,0.565,1.115,"C. linariifolia"
2024,"7/8/24","Deer Creek 1",60,119,"Castilleja",1.205,0.655,0.55,0.625,1.175,"C. linariifolia"
2024,"7/8/24","Deer Creek 1",60,120,"Control",1.1,0.6,0.5,0.6,1.1,"C. linariifolia"
2024,"7/9/23","Deer Creek 2",61,121,"Castilleja",1.15,1,0.15,0.86,1.01,"C. linariifolia"
2024,"7/9/23","Deer Creek 2",61,122,"Control",1.36,1.21,0.15,1.21,1.36,"C. linariifolia"
2024,"7/9/23","Deer Creek 2",62,123,"Castilleja",1.185,0.535,0.65,0.525,1.175,"C. linariifolia"
2024,"7/9/23","Deer Creek 2",62,124,"Control",1.625,1.225,0.4,0.925,1.325,"C. linariifolia"
2024,"7/9/23","Deer Creek 2",63,125,"Castilleja",1.28,0.78,0.5,0.41,0.91,"C. linariifolia"
2024,"7/9/23","Deer Creek 2",63,126,"Control",1.25,0.65,0.6,0.65,1.25,"C. linariifolia"
2024,"7/9/23","Deer Creek 2",64,127,"Castilleja",1.125,0.775,0.35,0.705,1.055,"C. linariifolia"
2024,"7/9/23","Deer Creek 2",64,128,"Control",1.23,1.08,0.15,0.68,0.83,"C. linariifolia"
2024,"7/9/23","Deer Creek 2",65,129,"Castilleja",1.16,0.71,0.45,0.28,0.73,"C. linariifolia"
2024,"7/9/23","Deer Creek 2",65,130,"Control",1.035,0.235,0.8,0.235,1.035,"C. linariifolia"
2024,"7/9/23","Deer Creek 2",66,131,"Castilleja",1.18,0.63,0.55,0.51,1.06,"C. linariifolia"
2024,"7/9/23","Deer Creek 2",66,132,"Control",1.065,0.165,0.9,0.165,1.065,"C. linariifolia"
2024,"7/9/23","Deer Creek 2",67,133,"Castilleja",1.125,0.875,0.25,0.795,1.045,"C. linariifolia"
2024,"7/9/23","Deer Creek 2",67,134,"Control",1.145,0.545,0.6,0.545,1.145,"C. linariifolia"
2024,"7/9/23","Deer Creek 2",68,135,"Castilleja",1.08,0.53,0.55,0.46,1.01,"C. linariifolia"
2024,"7/9/23","Deer Creek 2",68,136,"Control",1.005,0.405,0.6,0.405,1.005,"C. linariifolia"
2024,"7/9/23","Deer Creek 2",69,137,"Castilleja",1.01,0.46,0.55,0.44,0.99,"C. linariifolia"
2024,"7/9/23","Deer Creek 2",69,138,"Control",1.125,0.625,0.5,0.625,1.125,"C. linariifolia"
2024,"7/9/23","Deer Creek 2",70,139,"Castilleja",1.17,0.42,0.75,0.37,1.12,"C. linariifolia"
2024,"7/9/23","Deer Creek 2",70,140,"Control",2.13,1.33,0.8,1.33,2.13,"C. linariifolia"
2024,"7/12/24","Deer Creek 2",71,141,"Castilleja",1.03,0.58,0.45,0.48,0.93,"C. linariifolia"
2024,"7/12/24","Deer Creek 2",71,142,"Control",1.07,0.32,0.75,0.18,0.93,"C. linariifolia"
2024,"7/12/24","Deer Creek 2",72,143,"Castilleja",1.23,0.93,0.3,0.86,1.16,"C. linariifolia"
2024,"7/12/24","Deer Creek 2",72,144,"Control",1.19,0.64,0.55,0.64,1.19,"C. linariifolia"
2024,"7/12/24","Deer Creek 2",73,145,"Castilleja",1.215,0.765,0.45,0.685,1.135,"C. linariifolia"
2024,"7/12/24","Deer Creek 2",73,146,"Control",1.11,0.21,0.9,0.21,1.11,"C. linariifolia"
2024,"7/12/24","Deer Creek 2",74,147,"Castilleja",1.05,0.5,0.55,0.38,0.93,"C. linariifolia"
2024,"7/12/24","Deer Creek 2",74,148,"Control",1.12,0.32,0.8,0.32,1.12,"C. linariifolia"
2024,"7/12/24","Deer Creek 2",75,149,"Castilleja",1.11,0.46,0.65,0.36,1.01,"C. linariifolia"
2024,"7/12/24","Deer Creek 2",75,150,"Control",1.075,0.525,0.55,0.505,1.055,"C. linariifolia"
2024,"7/12/24","Deer Creek 2",76,151,"Castilleja",1.245,1.045,0.2,0.745,0.945,"C. linariifolia"
2024,"7/12/24","Deer Creek 2",76,152,"Control",1.005,0.655,0.35,0.655,1.005,"C. linariifolia"
2024,"7/12/24","Deer Creek 2",77,153,"Castilleja",1.295,0.995,0.3,0.745,1.045,"C. linariifolia"
2024,"7/12/24","Deer Creek 2",77,154,"Control",1,0.64,0.36,0.58,0.94,"C. linariifolia"
2024,"7/12/24","Deer Creek 2",78,155,"Castilleja",1.405,1.205,0.2,1.005,1.205,"C. linariifolia"
2024,"7/12/24","Deer Creek 2",78,156,"Control",1.36,1.11,0.25,1.03,1.28,"C. linariifolia"
2024,"7/12/24","Deer Creek 2",79,157,"Castilleja",1.66,1.36,0.3,1.21,1.51,"C. linariifolia"
2024,"7/12/24","Deer Creek 2",79,158,"Control",1.235,0.935,0.3,0.665,0.965,"C. linariifolia"
2024,"7/12/24","Deer Creek 2",80,159,"Castilleja",1.375,0.975,0.4,0.855,1.255,"C. linariifolia"
2024,"7/12/24","Deer Creek 2",80,160,"Control",1.235,0.585,0.65,0.585,1.235,"C. linariifolia"
2024,"7/16/24","Johnson Hill",81,161,"Castilleja",1.15,0.7,0.45,0.68,1.13,"C. linariifolia"
2024,"7/16/24","Johnson Hill",81,162,"Control",1.2,0.75,0.45,0.75,1.2,"C. linariifolia"
2024,"7/16/24","Johnson Hill",82,163,"Castilleja",1.21,0.91,0.3,0.84,1.14,"C. linariifolia"
2024,"7/16/24","Johnson Hill",82,164,"Control",1.155,0.855,0.3,0.855,1.155,"C. linariifolia"
2024,"7/16/24","Johnson Hill",83,165,"Castilleja",1.39,1.24,0.15,1.21,1.36,"C. linariifolia"
2024,"7/16/24","Johnson Hill",83,166,"Control",1.26,1.23,0.03,1.23,1.26,"C. linariifolia"
2024,"7/16/24","Johnson Hill",84,167,"Castilleja",1.495,0.895,0.6,0.845,1.445,"C. linariifolia"
2024,"7/16/24","Johnson Hill",84,168,"Control",1.46,1.06,0.4,1.06,1.46,"C. linariifolia"
2024,"7/16/24","Johnson Hill",85,169,"Castilleja",1,0.63,0.37,0.57,0.94,"C. linariifolia"
2024,"7/16/24","Johnson Hill",85,170,"Control",1.365,1.115,0.25,1.115,1.365,"C. linariifolia"
2024,"7/16/24","Johnson Hill",86,171,"Castilleja",1.82,1.77,0.05,1.42,1.47,"C. linariifolia"
2024,"7/16/24","Johnson Hill",86,172,"Control",1.34,1.04,0.3,1.04,1.34,"C. linariifolia"
2024,"7/16/24","Johnson Hill",87,173,"Castilleja",1.41,1.21,0.2,1.06,1.26,"C. linariifolia"
2024,"7/16/24","Johnson Hill",87,174,"Control",1.21,1.01,0.2,1.01,1.21,"C. linariifolia"
2024,"7/16/24","Johnson Hill",88,175,"Castilleja",1.115,0.565,0.55,0.495,1.045,"C. linariifolia"
2024,"7/16/24","Johnson Hill",88,176,"Control",1.14,0.74,0.4,0.74,1.14,"C. linariifolia"
2024,"7/16/24","Johnson Hill",89,177,"Castilleja",1.27,0.92,0.35,0.9,1.25,"C. linariifolia"
2024,"7/16/24","Johnson Hill",89,178,"Control",1.215,0.865,0.35,0.865,1.215,"C. linariifolia"
2024,"7/16/24","Johnson Hill",90,179,"Castilleja",1.02,0.62,0.4,0.57,0.97,"C. linariifolia"
2024,"7/16/24","Johnson Hill",90,180,"Control",1.17,0.37,0.8,0.37,1.17,"C. linariifolia"
2024,"7/17/24","Johnson Hill",91,181,"Castilleja",1.375,0.975,0.4,0.725,1.125,"C. linariifolia"
2024,"7/17/24","Johnson Hill",91,182,"Control",1.185,0.585,0.6,0.585,1.185,"C. linariifolia"
2024,"7/17/24","Johnson Hill",92,183,"Castilleja",1.145,0.495,0.65,0.445,1.095,"C. linariifolia"
2024,"7/17/24","Johnson Hill",92,184,"Control",1.085,0.235,0.85,0.235,1.085,"C. linariifolia"
2024,"7/17/24","Johnson Hill",93,185,"Castilleja",1.13,0.93,0.2,0.89,1.09,"C. linariifolia"
2024,"7/17/24","Johnson Hill",93,186,"Control",1.055,0.805,0.25,0.805,1.055,"C. linariifolia"
2024,"7/17/24","Johnson Hill",94,187,"Castilleja",1.29,0.94,0.35,0.84,1.19,"C. linariifolia"
2024,"7/17/24","Johnson Hill",94,188,"Control",1.03,0.83,0.2,0.83,1.03,"C. linariifolia"
2024,"7/17/24","Johnson Hill",95,189,"Castilleja",1.13,0.88,0.25,0.63,0.88,"C. linariifolia"
2024,"7/17/24","Johnson Hill",95,190,"Control",1.34,1.04,0.3,1.04,1.34,"C. linariifolia"
2024,"7/17/24","Johnson Hill",96,191,"Castilleja",1.135,0.685,0.45,0.645,1.095,"C. linariifolia"
2024,"7/17/24","Johnson Hill",96,192,"Control",1.37,0.82,0.55,0.82,1.37,"C. linariifolia"
2024,"7/17/24","Johnson Hill",97,193,"Castilleja",1.195,0.745,0.45,0.645,1.095,"C. linariifolia"
2024,"7/17/24","Johnson Hill",97,194,"Control",1.2,0.55,0.65,0.55,1.2,"C. linariifolia"
2024,"7/17/24","Johnson Hill",98,195,"Castilleja",1.35,1.05,0.3,0.93,1.23,"C. linariifolia"
2024,"7/17/24","Johnson Hill",98,196,"Control",1.18,0.88,0.3,0.88,1.18,"C. linariifolia"
2024,"7/17/24","Johnson Hill",99,197,"Castilleja",1.04,0.79,0.25,0.62,0.87,"C. linariifolia"
2024,"7/17/24","Johnson Hill",99,198,"Control",1.28,0.93,0.35,0.93,1.28,"C. linariifolia"
2024,"7/17/24","Johnson Hill",100,199,"Castilleja",1.25,0.6,0.65,0.59,1.24,"C. linariifolia"
2024,"7/17/24","Johnson Hill",100,200,"Control",1.16,0.91,0.25,0.91,1.16,"C. linariifolia"
2024,"6/9/2024","Almont",1,1,"Castilleja",1,0.55,0.45,0.53,0.98,"C. chromosa"
2024,"6/9/2024","Almont",1,2,"Control",1.005,0.285,0.72,0.285,1.005,"C. chromosa"
2024,"6/9/2024","Almont",2,3,"Castilleja",1.015,0.545,0.47,0.525,0.995,"C. chromosa"
2024,"6/9/2024","Almont",2,4,"Control",1,0.35,0.65,0.35,1,"C. chromosa"
2024,"6/9/2024","Almont",3,5,"Castilleja",1,0.48,0.52,0.47,0.99,"C. chromosa"
2024,"6/9/2024","Almont",3,6,"Control",1.005,0.565,0.44,0.565,1.005,"C. chromosa"
2024,"6/9/2024","Almont",4,7,"Castilleja",1.185,0.685,0.5,0.645,1.145,"C. chromosa"
2024,"6/9/2024","Almont",4,8,"Control",1.035,0.285,0.75,0.285,1.035,"C. chromosa"
2024,"6/9/2024","Almont",5,9,"Castilleja",1.0225,0.4725,0.55,0.4625,1.0125,"C. chromosa"
2024,"6/9/2024","Almont",5,10,"Control",1.005,0.705,0.3,0.705,1.005,"C. chromosa"
2024,"6/9/2024","Almont",6,11,"Castilleja",1.035,0.435,0.6,0.42,1.02,"C. chromosa"
2024,"6/9/2024","Almont",6,12,"Control",1.05,0.9,0.15,0.9,1.05,"C. chromosa"
2024,"6/9/2024","Almont",7,13,"Castilleja",1.075,0.375,0.7,0.345,1.045,"C. chromosa"
2024,"6/9/2024","Almont",7,14,"Control",1,0.5,0.5,0.5,1,"C. chromosa"
2024,"6/9/2024","Almont",8,15,"Castilleja",1.085,0.635,0.45,0.595,1.045,"C. chromosa"
2024,"6/9/2024","Almont",8,16,"Control",1.14,0.99,0.15,0.99,1.14,"C. chromosa"
2024,"6/9/2024","Almont",9,17,"Castilleja",1.07,0.57,0.5,0.56,1.06,"C. chromosa"
2024,"6/9/2024","Almont",9,18,"Control",1.005,0.495,0.51,0.495,1.005,"C. chromosa"
2024,"6/9/2024","Almont",10,19,"Castilleja",1.08,0.58,0.5,0.57,1.07,"C. chromosa"
2024,"6/9/2024","Almont",10,20,"Control",1.025,0.525,0.5,0.525,1.025,"C. chromosa"
2024,"6/9/2024","Almont",11,21,"Castilleja",0.98,0.48,0.5,0.46,0.96,"C. chromosa"
2024,"6/9/2024","Almont",11,22,"Control",1.025,0.575,0.45,0.575,1.025,"C. chromosa"
2024,"6/9/2024","Almont",12,23,"Castilleja",1.09,0.69,0.4,0.675,1.075,"C. chromosa"
2024,"6/9/2024","Almont",12,24,"Control",1,0.37,0.63,0.37,1,"C. chromosa"
2024,"6/9/2024","Almont",13,25,"Castilleja",1.005,0.515,0.49,0.495,0.985,"C. chromosa"
2024,"6/9/2024","Almont",13,26,"Control",1,0.49,0.51,0.49,1,"C. chromosa"
2024,"6/9/2024","Almont",14,27,"Castilleja",1.205,0.505,0.7,0.49,1.19,"C. chromosa"
2024,"6/9/2024","Almont",14,28,"Control",1.12,0.37,0.75,0.37,1.12,"C. chromosa"
2024,"6/9/2024","Almont",15,29,"Castilleja",1,0.57,0.43,0.55,0.98,"C. chromosa"
2024,"6/9/2024","Almont",15,30,"Control",1.06,0.41,0.65,0.41,1.06,"C. chromosa"
2024,"6/24/2024","Almont",16,31,"Castilleja",1.005,0.685,0.32,0.665,0.985,"C. chromosa"
2024,"6/24/2024","Almont",16,32,"Control",1,0.65,0.35,0.65,1,"C. chromosa"
2024,"6/24/2024","Almont",17,33,"Castilleja",1,0.38,0.62,0.355,0.975,"C. chromosa"
2024,"6/24/2024","Almont",17,34,"Control",1.005,0.725,0.28,0.725,1.005,"C. chromosa"
2024,"6/24/2024","Almont",18,35,"Castilleja",1.09,0.36,0.73,0.35,1.08,"C. chromosa"
2024,"6/24/2024","Almont",18,36,"Control",1.005,0.485,0.52,0.485,1.005,"C. chromosa"
2024,"6/24/2024","Almont",19,37,"Castilleja",1.085,0.485,0.6,0.475,1.075,"C. chromosa"
2024,"6/24/2024","Almont",19,38,"Control",1,0.46,0.54,0.46,1,"C. chromosa"
2024,"6/24/2024","Almont",20,39,"Castilleja",1,0.31,0.69,0.28,0.97,"C. chromosa"
2024,"6/24/2024","Almont",20,40,"Control",1.015,0.615,0.4,0.615,1.015,"C. chromosa"
